Результати табуляції маршруту Заросляк - Говерла
№  | Latitude  | Longitude | Elevation (m)
 0 | 48.164214 | 24.536044 | 1330.00
 1 | 48.164983 | 24.534836 | 1370.00
 2 | 48.165605 | 24.534068 | 1410.00
 3 | 48.166228 | 24.532915 | 1450.00
 4 | 48.166777 | 24.531927 | 1490.00
 5 | 48.167326 | 24.530884 | 1530.00
 6 | 48.167011 | 24.530061 | 1580.00
 7 | 48.166053 | 24.528039 | 1640.00
 8 | 48.166655 | 24.526064 | 1690.00
 9 | 48.166497 | 24.523574 | 1730.00
10 | 48.166128 | 24.520214 | 1780.00
11 | 48.165416 | 24.517170 | 1820.00
12 | 48.164546 | 24.514640 | 1860.00
13 | 48.163412 | 24.512980 | 1900.00
14 | 48.162331 | 24.511715 | 1930.00
15 | 48.162015 | 24.509462 | 1960.00
16 | 48.162147 | 24.506932 | 1990.00
17 | 48.161751 | 24.504244 | 2010.00
18 | 48.161197 | 24.501793 | 2030.00
19 | 48.160580 | 24.500537 | 2050.00
20 | 48.160250 | 24.500106 | 2061.00
